layer,unit,description,similarity
conv1,0,halloween,0.12890625
conv1,1,darkness,0.13858032
conv1,2,worksheet,0.11810303
conv1,3,snorkeling,0.4196167
conv1,4,blue,0.2593689
conv1,5,worksheet,0.11517334
conv1,6,darkness,0.13735962
conv1,7,yellow,0.19781494
conv1,8,red,0.27175903
conv1,9,aquarium,0.3103943
conv1,10,blue,0.25091553
conv1,11,orange,0.2722168
conv1,12,blue,0.23062134
conv1,13,worksheet,0.11987305
conv1,14,worksheet,0.12017822
conv1,15,snorkeling,0.35198975
conv1,16,darkness,0.13180542
conv1,17,darkness,0.13665771
conv1,18,darkness,0.11941528
conv1,19,darkness,0.13595581
conv1,20,pink,0.3685608
conv1,21,fluorescence,0.16708374
conv1,22,aaa,0.39175415
conv1,23,snorkeling,0.41131592
conv1,24,worksheet,0.12011719
conv1,25,darkness,0.13656616
conv1,26,aquarium,0.30474854
conv1,27,worksheet,0.11654663
conv1,28,fluorescence,0.17095947
conv1,29,darkness,0.13519287
conv1,30,bizjournalshire,0.101745605
conv1,31,worksheet,0.11431885
conv1,32,darkness,0.138031
conv1,33,fluorescence,0.12420654
conv1,34,orange,0.29910278
conv1,35,worksheet,0.115234375
conv1,36,darkness,0.13110352
conv1,37,worksheet,0.11352539
conv1,38,darkness,0.1234436
conv1,39,green,0.24783325
conv1,40,worksheet,0.123413086
conv1,41,worksheet,0.114227295
conv1,42,aquarium,0.2852173
conv1,43,stationery,0.118011475
conv1,44,accommodations,0.11010742
conv1,45,purple,0.311615
conv1,46,worksheet,0.11248779
conv1,47,darkness,0.13842773
conv1,48,darkness,0.12557983
conv1,49,stationery,0.11428833
conv1,50,stationery,0.10897827
conv1,51,worksheet,0.12322998
conv1,52,stationery,0.112701416
conv1,53,stationery,0.111206055
conv1,54,bizjournalshire,0.08483887
conv1,55,worksheet,0.12347412
conv1,56,darkness,0.13375854
conv1,57,yellow,0.15301514
conv1,58,darkness,0.13876343
conv1,59,yellow,0.31658936
conv1,60,worksheet,0.116119385
conv1,61,darkness,0.134552
conv1,62,aquarium,0.22058105
conv1,63,darkness,0.13674927
